lr-AdamW/pg2,step,valid_collapse,valid_loss_t,lr-AdamW/pg1,valid_loss,lr-AdamW/pg3,epoch,valid_loss_c,valid_loss_a,train_collapse,train_loss_t,train_loss,train_loss_c,train_loss_a
,34505,,,,,,80,,,0.47782906889915466,0.8114739060401917,0.7983877062797546,0.6246232390403748,0.08033911138772964
0.0004286877632553606,34506,,,0.0004286877632553606,,0.0004286877632553606,,,,,,,,
,34931,0.21699371933937073,0.7769517302513123,,0.9486398100852966,,81,0.8665494322776794,0.12688928842544556,,,,,
,34931,,,,,,81,,,0.4781527817249298,0.8128485083580017,0.8000670075416565,0.6261866092681885,0.08054953068494797
0.0004253588597335953,34932,,,0.0004253588597335953,,0.0004253588597335953,,,,,,,,
,35357,0.21187007427215576,0.7795454263687134,,0.9521087408065796,,82,0.8726149201393127,0.12602855265140533,,,,,
,35357,,,,,,82,,,0.4783073365688324,0.8129410743713379,0.8004112243652344,0.6263925433158875,0.08074433356523514
0.00042196866385426463,35358,,,0.00042196866385426463,,0.00042196866385426463,,,,,,,,
,35783,0.22060155868530273,0.7588518857955933,,0.9260017275810242,,83,0.8484676480293274,0.12234202027320862,,,,,
,35783,,,,,,83,,,0.4785008132457733,0.8109329342842102,0.7973177433013916,0.6235163807868958,0.08009317517280579
0.0004185184764880695,35784,,,0.0004185184764880695,,0.0004185184764880695,,,,,,,,
,36209,0.2180566042661667,0.7684380412101746,,0.9368073344230652,,84,0.8586496710777283,0.12326343357563019,,,,,
,36209,,,,,,84,,,0.4781692326068878,0.8141219019889832,0.8020614981651306,0.628942608833313,0.08052925765514374
0.00041500962152537385,36210,,,0.00041500962152537385,,0.00041500962152537385,,,,,,,,
